nli_id,nli_url,heb_heading,rom_heading,wikidata,wikidata_url,wikidata_says,wikidata_label,kima_id,kima_url,kima_heb,kima_rom,kima_location_type_id,kima_location_type_meaning,distance_km,feature_extent_km,classifier_bucket,classifier_bucket_meaning,period,why_skipped
987007543674705171,https://www.nli.org.il/he/authorities/987007543674705171,אוקיאניה,Oceania,Q55643,https://www.wikidata.org/wiki/Q55643,continent / region / subcontinent / region / part of the world / continent,Oceania,2850,https://data.geo-kima.org/Places/Details/2850,אוקיאניה,Oceania,2,region / extended feature,2797.7,3385.1,extended-feature,both points lie on the feature — no real move,20241028-20241103,a type word would be wrong for this kind of entity (continent / region / subcontinent / region / part of the world / continent)
987007555593705171,https://www.nli.org.il/he/authorities/987007555593705171,מאסיף סנטרל (צרפת),Massif Central (France),Q190695,https://www.wikidata.org/wiki/Q190695,non-geologically related mountain range / upland / mountain range,Massif Central,2624,https://data.geo-kima.org/Places/Details/2624,מאסיף סנטרל (צרפת),Massif Central (France),1,settlement / point feature,86.2,329.0,extended-feature,both points lie on the feature — no real move,20250115-20250121,"a type word would be right, but we have no Hebrew word we trust for this type (non-geologically related mountain range / upland / mountain range) — NLI may have an established usage"
987007292903905171,https://www.nli.org.il/he/authorities/987007292903905171,"אלאמו (סן אנטוניו, טקסס)","Alamo (San Antonio, Tex.)",Q981989,https://www.wikidata.org/wiki/Q981989,mission station / fortification / city in the United States,Alamo,1912,https://data.geo-kima.org/Places/Details/1912,"אלאמו (סן אנטוניו, טקסס)","Alamo (San Antonio, Tex.)",1,settlement / point feature,362.2,5.0,homonym,two same-named places; which one did NLI mean,20250212-20250218,no Hebrew type word mapped for: mission station / fortification / city in the United States
987007555456905171,https://www.nli.org.il/he/authorities/987007555456905171,פיניקיה,Phoenicia,Q41642,https://www.wikidata.org/wiki/Q41642,historical country / style,Phoenicia,14066,https://data.geo-kima.org/Places/Details/14066,פיניקיה,Phoenicia,2,region / extended feature,8944.3,,nli-coords-wrong,Wikidata backs Kima's point; NLI's stands alone,20250212-20250218,no Hebrew type word mapped for: historical country / style
987007543469105171,https://www.nli.org.il/he/authorities/987007543469105171,גיאנה (אזור),Guiana,Q734,https://www.wikidata.org/wiki/Q734,region / sovereign state / country,Guyana,1298,https://data.geo-kima.org/Places/Details/1298,גיאנה (אזור),Guiana,2,region / extended feature,391.8,523.2,extended-feature,both points lie on the feature — no real move,20250212-20250218,a type word would be wrong for this kind of entity (region / sovereign state / country)
987007563842205171,https://www.nli.org.il/he/authorities/987007563842205171,קו המשווה,Equator,Q23538,https://www.wikidata.org/wiki/Q23538,great circle / circle of latitude / equator,,5045,https://data.geo-kima.org/Places/Details/5045,קו המשווה,Equator,0,no type recorded in Kima,20015.1,40075.0,extended-feature,both points lie on the feature — no real move,20250212-20250218,no Hebrew type word mapped for: great circle / circle of latitude / equator
987007426101505171,https://www.nli.org.il/he/authorities/987007426101505171,פארק בגין (ישראל),Park Begin (Israel),Q6603577,https://www.wikidata.org/wiki/Q6603577,park / park,Menahem Begin Park,26126,https://data.geo-kima.org/Places/Details/26126,פארק בגין (ישראל),Park Begin (Israel),1,settlement / point feature,44.0,100.9,extended-feature,both points lie on the feature — no real move,20250402-20250408,no Hebrew type word mapped for: park / park
987007550753005171,https://www.nli.org.il/he/authorities/987007550753005171,פרנקישה אלב (גרמניה),Fränkische Alb (Germany),Q669883,https://www.wikidata.org/wiki/Q669883,non-geologically related mountain range / mountain range / low mountain range,Franconian Jura,1399,https://data.geo-kima.org/Places/Details/1399,פרנקישה אלב (גרמניה),Fränkische Alb (Germany),1,settlement / point feature,66.9,,extended-feature,both points lie on the feature — no real move,20260212-20260218,"a type word would be right, but we have no Hebrew word we trust for this type (non-geologically related mountain range / mountain range / low mountain range) — NLI may have an established usage"
987007285397305171,https://www.nli.org.il/he/authorities/987007285397305171,שביל קוקודה (פפואה גינאה החדשה),Kokoda Trail (Papua New Guinea),Q1424748,https://www.wikidata.org/wiki/Q1424748,trail,Kokoda Track,1710,https://data.geo-kima.org/Places/Details/1710,שביל קוקודה (פפואה גינאה החדשה),Kokoda Trail (Papua New Guinea),1,settlement / point feature,91.4,96.0,extended-feature,both points lie on the feature — no real move,20260219-20260225,no Hebrew type word mapped for: trail
987007543995505171,https://www.nli.org.il/he/authorities/987007543995505171,שביל נוף לאומי תקופת הקרח (ויסקונסין),Ice Age National Scenic Trail (Wis.),Q49504499,https://www.wikidata.org/wiki/Q49504499,park / National Scenic Trail,Ice Age National Scenic Trail,3492,https://data.geo-kima.org/Places/Details/3492,שביל נוף לאומי תקופת הקרח (ויסקונסין),Ice Age National Scenic Trail (Wis.),1,settlement / point feature,99.0,,extended-feature,both points lie on the feature — no real move,20260219-20260225,no Hebrew type word mapped for: park / National Scenic Trail
